,track-id,building,type,position,type-position,x-pos,y-pos,z-pos,floor,noisy,event-start-s,event-end-s
0,A-000000.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.8,2
1,A-000001.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.6,1.85
2,A-000002.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.88,2.09
3,A-000003.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.81,2.07
4,A-000004.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.2,2.4
5,A-000005.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.2,2.46
6,A-000006.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.2,2.39
7,A-000007.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.08,2.26
8,A-000008.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.39,2.58
9,A-000009.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.15,2.32
10,A-000010.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.9,2.1
11,A-000011.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.26,2.44
12,A-000012.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.35,2.55
13,A-000013.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.38,2.56
14,A-000014.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.48,2.67
15,A-000015.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2,2.24
16,A-000016.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.17,2.37
17,A-000017.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.12,2.34
18,A-000018.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.12,2.38
19,A-000019.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.02,2.26
20,A-000020.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.77,2.99
21,A-000021.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.04,2.22
22,A-000022.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.27,2.46
23,A-000023.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.04,2.24
24,A-000024.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.97,2.18
25,A-000025.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.08,2.31
26,A-000026.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.46,2.63
27,A-000027.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.89,2.1
28,A-000028.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.01,2.2
29,A-000029.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.45,2.7
30,A-000030.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.54,2.82
31,A-000031.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.4,2.63
32,A-000032.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.87,2.15
33,A-000033.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.94,2.23
34,A-000034.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.14,2.4
35,A-000035.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.99,2.19
36,A-000036.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.14,2.4
37,A-000037.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.1,2.41
38,A-000038.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2,2.29
39,A-000039.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.17,2.42
40,A-000040.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.07,2.26
41,A-000041.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.75,1.97
42,A-000042.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2,2.2
43,A-000043.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.16,2.38
44,A-000044.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.22,2.48
45,A-000045.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.16,2.39
46,A-000046.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,2.37,2.63
47,A-000047.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.75,2.03
48,A-000048.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.944,2.25
49,A-000049.m4a,A,MB,1F00m,MB-1F00m,0,4,-2.05,-1,0,1.87,2.2
50,A-001000.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.75,2.09
51,A-001001.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.807,2.12
52,A-001002.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.78,1.99
53,A-001003.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.94,2.13
54,A-001004.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.09,2.37
55,A-001005.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.82,2
56,A-001006.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.95,2.2
57,A-001007.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.89,2.2
58,A-001008.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.87,2.16
59,A-001009.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.1,2.5
60,A-001010.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.2,2.5
61,A-001011.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.93,2.2
62,A-001012.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.7,1.96
63,A-001013.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.1,2.4
64,A-001014.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.38,2.7
65,A-001015.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.1,2.4
66,A-001016.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,1.925,2.23
67,A-001017.m4a,A,MB,1F06m,MB-1F06m,6,4,-2.05,-1,0,2.09,2.39
