track_id,type_position,type,position,upper_lower,event_start_s,event_end_s,noisy,fold_conf_1,fold_conf_2,fold_conf_3,fold_conf_4,fold_conf_5,fold_conf_6
0,MB-S4A-R5E,MB,S4A-R5E,lower,1.82,2.31,0,1,test,1,1,1,1
1,MB-S4A-R5E,MB,S4A-R5E,lower,1.58,2,0,2,test,2,2,2,2
2,MB-S4A-R5E,MB,S4A-R5E,lower,2.39,2.9,0,3,test,3,3,3,3
3,MB-S4A-R5E,MB,S4A-R5E,lower,2,2.76,0,4,test,4,4,4,4
4,MB-S4A-R5E,MB,S4A-R5E,lower,1.74,2.21,0,5,test,5,5,5,5
5,MB-S4A-R5E,MB,S4A-R5E,lower,1.45,1.93,0,1,test,1,1,1,1
6,MB-S4A-R5E,MB,S4A-R5E,lower,1.76,2.2,0,2,test,2,2,2,2
7,MB-S4A-R5E,MB,S4A-R5E,lower,2.27,2.72,0,3,test,3,3,3,3
8,MB-S4A-R5E,MB,S4A-R5E,lower,1.78,2.36,0,4,test,4,4,4,4
9,MB-S4A-R5E,MB,S4A-R5E,lower,1.81,2.2,0,5,test,5,5,5,5
10,MB-S4A-R5E,MB,S4A-R5E,lower,2.02,2.5,0,1,test,1,1,1,1
11,MB-S4A-R5E,MB,S4A-R5E,lower,1.86,2.3,0,2,test,2,2,2,2
12,MB-S4A-R5E,MB,S4A-R5E,lower,1.98,2.46,1,3,test,3,3,3,3
13,MB-S4A-R5E,MB,S4A-R5E,lower,2.05,2.5,1,4,test,4,4,4,4
14,MB-S4A-R5E,MB,S4A-R5E,lower,1.9,2.38,0,5,test,5,5,5,5
15,MB-S4A-R5E,MB,S4A-R5E,lower,2.1,2.51,0,1,test,1,1,1,1
16,MB-S4A-R5E,MB,S4A-R5E,lower,1.79,2.2,0,2,test,2,2,2,2
17,MB-S4A-R5E,MB,S4A-R5E,lower,1.66,2.1,0,3,test,3,3,3,3
18,MB-S4A-R5E,MB,S4A-R5E,lower,2.26,2.74,0,4,test,4,4,4,4
19,MB-S4A-R5E,MB,S4A-R5E,lower,1.96,2.46,0,5,test,5,5,5,5
20,MB-S4A-R5E,MB,S4A-R5E,lower,2.44,2.91,0,1,test,1,1,1,1
21,MB-S4A-R5E,MB,S4A-R5E,lower,2.05,2.42,0,2,test,2,2,2,2
22,MB-S4A-R5E,MB,S4A-R5E,lower,0.9,1.41,0,3,test,3,3,3,3
23,MB-S4A-R5E,MB,S4A-R5E,lower,2.06,2.45,0,4,test,4,4,4,4
24,MB-S4A-R5E,MB,S4A-R5E,lower,2.2,2.72,0,5,test,5,5,5,5
25,MB-S4A-R5E,MB,S4A-R5E,lower,1.78,2.23,0,1,test,1,1,1,1
26,MB-S4A-R5E,MB,S4A-R5E,lower,2.17,2.61,0,2,test,2,2,2,2
27,MB-S4A-R5E,MB,S4A-R5E,lower,2.74,3.11,0,3,test,3,3,3,3
28,MB-S4A-R5E,MB,S4A-R5E,lower,1.75,2.04,0,4,test,4,4,4,4
29,MB-S4A-R5E,MB,S4A-R5E,lower,1.94,2.39,0,5,test,5,5,5,5
30,MB-S4A-R5E,MB,S4A-R5E,lower,2.12,2.51,0,1,test,1,1,1,1
31,MB-S4A-R5E,MB,S4A-R5E,lower,1.96,2.41,0,2,test,2,2,2,2
32,MB-S4A-R5E,MB,S4A-R5E,lower,1.65,2.09,0,3,test,3,3,3,3
33,MB-S4A-R5E,MB,S4A-R5E,lower,2.07,2.5,0,4,test,4,4,4,4
34,MB-S4A-R5E,MB,S4A-R5E,lower,2.75,3.2,0,5,test,5,5,5,5
35,MB-S4A-R5E,MB,S4A-R5E,lower,1.85,2.25,0,1,test,1,1,1,1
36,MB-S4A-R5E,MB,S4A-R5E,lower,2.37,2.81,0,2,test,2,2,2,2
37,MB-S4A-R5E,MB,S4A-R5E,lower,1.77,2.23,0,3,test,3,3,3,3
38,MB-S4A-R5E,MB,S4A-R5E,lower,1.96,2.4,0,4,test,4,4,4,4
39,MB-S4A-R5E,MB,S4A-R5E,lower,2.26,2.65,0,5,test,5,5,5,5
40,MB-S4A-R5E,MB,S4A-R5E,lower,1.93,2.33,0,1,test,1,1,1,1
41,MB-S4A-R5E,MB,S4A-R5E,lower,2.26,2.73,0,2,test,2,2,2,2
