,learning_rate,l2_penalty,fold_1,fold_2,fold_3,fold_4,fold_5
0,0.0385541638,0.001484583,0.230769235,0.2307692348,0.2307692365,0.2410256463,0.2307692359
1,3.9648485104,0.0024314614,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
2,0.0425773315,7.0201260532,0.230769235,0.2307692357,0.5923077113,0.2307692359,0.2307692359
3,0.0839034208,0.7409255701,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
4,0.0011356695,0.0004440387,0.9846153809,0.9897435888,0.9846153809,0.9897435873,0.9923076905
5,0.002204796,0.0418950009,0.9871794841,0.9846153825,0.9923076905,0.9846153825,0.9897435873
6,0.0358463981,0.0114709264,0.230769235,0.2307692363,0.7102564291,0.2307692359,0.4948718055
7,0.0025569713,0.030496039,0.9923076905,0.9871794857,0.9897435873,0.9871794841,0.9948717936
8,0.0004703031,0.0169905529,0.9769230714,0.9871794841,0.9666666602,0.9743589698,0.9743589698
9,0.225477439,83.8092068662,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
10,0.0263619076,3.2842468825,0.9282051233,0.9769230745,0.9333333251,0.9769230729,0.9692307634
11,0.2019779085,28.7269024477,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
12,0.002820455,0.5803259903,0.9923076905,0.9897435873,0.9871794841,0.9948717936,0.9923076905
13,4.4101437158,0.0014597451,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
14,2.7708612868,0.0016146502,0.2307692357,0.2307692348,0.2307692365,0.2307692359,0.2307692359
15,0.1377602664,65.4576911842,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
16,10.4550950611,11.5478133976,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
17,1.0430969291,0.2936406578,0.2307692357,0.2307692363,0.2307692365,0.2307692359,0.2307692359
18,0.0628508014,0.0038428309,0.230769235,0.2307692363,0.2307692355,0.2307692359,0.2307692359
19,0.0841264837,1.488342126,0.2307692348,0.2307692363,0.2307692365,0.2307692359,0.2307692359
20,0.6187695052,14.1821184754,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
21,0.4666631609,0.0049191717,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
22,36.92947905,94.8740264955,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
23,0.0055843592,0.0747276551,0.9897435873,0.9923076905,0.9948717936,0.9897435873,0.9974358968
24,0.0466888132,0.0001014339,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
25,0.0001735019,0.0092908172,0.9358974298,0.9230769154,0.938461536,0.9256410232,0.9410256361
26,0.0005062259,0.0395943082,0.9743589698,0.9897435873,0.9794871746,0.9769230729,0.9692307634
27,2.2581257484,0.0302252244,0.2307692357,0.2307692363,0.2307692365,0.2307692359,0.2307692359
28,0.0050966625,0.0033104837,0.9923076905,0.9897435873,0.9923076905,0.9923076905,0.9974358968
29,0.0241649568,0.008197861,0.7076923236,0.9871794841,0.9974358968,0.9923076905,0.2307692361
30,7.0808000507,0.0006890686,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
31,2.2597614016,23.1667684812,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
32,78.6673016502,8.2578001115,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
33,0.6073947935,0.3483782554,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
34,0.1106984174,0.0001074747,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
35,0.0008147681,72.0707866883,0.9666666587,0.9487179426,0.9538461505,0.9564102491,0.9717948666
36,0.0832127446,21.0327506633,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
37,0.3384566278,0.9088244089,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
38,0.3393362118,0.0037745328,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
39,8.0796323211,0.0258194526,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
40,0.0015617921,22.9372119962,0.9820512793,0.9820512778,0.9794871746,0.9871794841,0.9846153809
41,0.0004623702,0.0806906959,0.9769230714,0.9794871761,0.9743589682,0.9743589698,0.9641025586
42,0.0001869076,0.0148626515,0.9384615284,0.9410256331,0.938461536,0.9435897378,0.9333333251
43,1.0104352507,1.4583784913,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
44,0.0073814446,0.5972734357,0.9923076905,0.9897435873,0.9897435873,0.9923076905,0.9974358968
45,1.6498570252,0.0195436327,0.230769235,0.2307692348,0.2307692357,0.2307692359,0.2307692359
46,2.7102668266,0.0223240633,0.230769235,0.2307692348,0.2307692357,0.2307692359,0.2307692359
47,0.0002228728,0.0079762142,0.9435897317,0.9641025571,0.9666666602,0.9512820427,0.9512820458
48,30.1712791489,0.3223406442,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
49,7.5383700181,10.5957900993,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
50,0.1064440499,0.0005113396,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
51,0.2834133234,0.0071107741,0.2307692357,0.2307692363,0.2307692365,0.2307692359,0.2307692359
52,0.0165800488,0.001237428,0.9948717936,0.9846153809,0.9923076905,0.9948717936,0.9897435888
53,2.3303090463,90.1356886826,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
54,52.1596873354,0.2895058567,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
55,1.0432856332,0.0043681406,0.2307692357,0.2307692363,0.2307692357,0.2307692359,0.2307692359
56,0.047743518,0.0001020845,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
57,0.0210329862,0.3802570715,0.9897435873,0.992307692,0.9948717936,0.9923076905,0.9897435873
58,0.0012325286,0.0156863059,0.9846153809,0.9846153825,0.9897435873,0.9846153809,0.9846153825
59,0.0087846569,0.0032948006,0.9923076905,0.9871794841,0.9974358968,0.9974358968,0.9974358968
60,11.1136567448,11.1304932968,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
61,0.0021731932,0.0007238746,0.9871794841,0.9871794857,0.9923076905,0.9897435873,0.9871794857
62,0.0002273012,0.0341306096,0.9538461459,0.9538461505,0.9743589698,0.946153841,0.953846149
63,1.6704170428,43.9388149547,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
64,6.8813972052,0.0006573562,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
65,0.0022640321,0.2128749576,0.9871794841,0.9871794841,0.9871794841,0.9871794841,0.9820512793
66,0.0109688979,0.0008303138,0.9948717936,0.9846153809,0.9974358968,0.9923076905,0.9974358968
67,1.245058412,9.1367038771,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
68,0.0001067256,0.2248168709,0.851282051,0.8692307671,0.8435897415,0.892307688,0.8666666685
69,41.816848391,0.1735223125,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
70,0.0043782677,0.0023350562,0.9897435873,0.9897435873,0.9923076905,0.9897435873,0.9974358968
71,0.2251237115,3.0273523693,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
72,80.1783170239,0.7319115967,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
73,0.009217909,0.7501423524,0.9897435873,0.9897435873,0.9923076905,0.9923076905,0.9871794857
74,0.0008126676,0.0779778068,0.9820512793,0.9794871761,0.9794871746,0.9871794841,0.9820512778
75,0.0453916632,14.836427786,0.2307692355,0.2307692363,0.2307692365,0.2307692359,0.2307692359
76,0.0042145747,0.0002720667,0.9923076905,0.9923076905,0.9897435873,0.9948717936,0.992307692
77,5.9324253622,0.0008343684,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
78,0.0766850206,0.4075243644,0.2307692348,0.2307692363,0.2307692355,0.2307692359,0.2307692359
79,21.425100266,0.0005456201,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
80,13.7727070315,25.5184036746,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
81,0.3607185913,13.2110934216,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
82,0.0004614303,0.2311883547,0.9820512778,0.9769230729,0.9794871746,0.9769230729,0.9794871761
83,0.0001237177,0.0057382466,0.8897435849,0.8871794863,0.8743589734,0.8948717897,0.8871794847
84,0.0002239789,6.7469227596,0.9435897378,0.9307692204,0.946153844,0.9435897393,0.9333333312
85,0.0263355027,0.0012186227,0.5897436058,0.9820512778,0.2897435969,0.5538461682,0.3282051354
86,2.364705346,0.0152820753,0.2307692357,0.2307692363,0.2307692365,0.2307692359,0.2307692359
87,0.0003668286,0.0025504073,0.9717948666,0.9666666618,0.9743589682,0.9717948666,0.9794871761
88,0.0178404771,10.800740013,0.9358974283,0.9794871761,0.9923076905,0.9871794841,0.9487179395
89,2.7698283302,0.113460746,0.230769235,0.2307692348,0.2307692357,0.2307692359,0.2307692361
90,0.4497581221,2.1285702125,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
91,0.0006426407,0.0560206037,0.9820512778,0.9820512793,0.9769230714,0.9794871777,0.9820512793
92,0.0016953649,0.0034987867,0.9871794857,0.9897435873,0.9871794841,0.9846153809,0.9948717936
93,0.086238487,0.000911995,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
94,0.0146915144,6.0641866756,0.9897435873,0.9820512778,0.9871794841,0.9923076905,0.9897435873
95,0.132900621,17.5253814464,0.230769235,0.2307692363,0.2307692365,0.2307692359,0.2307692359
96,0.0005422149,0.3867366096,0.9871794841,0.9794871761,0.9794871746,0.9769230729,0.9743589698
97,0.0146156944,3.4085018718,0.9974358968,0.9923076905,0.9871794841,0.9974358968,0.9846153809
98,0.0002330682,0.5937098224,0.9564102506,0.9564102506,0.9615384539,0.9538461459,0.9641025571
99,0.0011407528,0.0011872744,0.9923076905,0.9897435888,0.9820512778,0.9820512778,0.992307692
